date,channel_id,video_id,claimed_status,uploader_type,country_code,estimated_partner_revenue,estimated_partner_ad_revenue,estimated_partner_ad_auction_revenue,estimated_partner_ad_reserved_revenue,estimated_youtube_ad_revenue,estimated_monetized_playbacks,estimated_playback_based_cpm,ad_impressions,estimated_cpm,estimated_partner_red_revenue,estimated_partner_transaction_revenue
20190111,UC_2Wbh0vaQ6GlTFSVxSG3vw,mCH4QukZmL4,claimed,self,VN,0.01,0.01,0.01,0,0.018,17,1.044,19,0.934,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,10wiLY2Dnes,claimed,self,SG,0.008,0.008,0.008,0,0.014,7,2,9,1.556,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,GUOeq8WkM6Q,claimed,self,US,0.002,0.002,0.002,0,0.004,5,0.711,5,0.711,0,0
20190111,UCw0U1UG1kaJH-1oH_J83e7A,dekftOs6lXA,claimed,self,AU,0.002,0.002,0.002,0,0.004,2,2.235,2,2.235,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,-UPOS0bZ3xY,claimed,self,TR,0,0,0,0,0,1,0.064,1,0.064,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,VGb1sgEi8Zo,claimed,self,NG,0.005,0.005,0.005,0,0.009,6,1.514,4,2.271,0,0
20190111,UCZvcMJ-YMxS9foXA049ZrtA,T6AySwMNYUY,claimed,self,VN,0.001,0.001,0.001,0,0.002,1,1.754,1,1.754,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,BNYexlP0Fxo,claimed,self,PK,0.001,0.001,0.001,0,0.001,2,0.606,2,0.606,0,0
20190111,UCHXT6hcUpi8NAiHRu622CUw,GIGrOEKv0mQ,claimed,self,VN,0.001,0.001,0.001,0,0.001,2,0.464,3,0.309,0,0
20190111,UCxkC-Qes_tz0xuQwjaquTzw,xXp_ms2A25c,claimed,self,EG,0.002,0.002,0.002,0,0.004,1,3.676,1,3.676,0,0
20190111,UCiu6Pc8Dix53ijEWSXRHNnQ,KcoKO_6T0RA,claimed,self,PK,0,0,0,0,0.001,14,0.044,16,0.039,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,g4scQEX3FI8,claimed,self,IE,0.002,0.002,0.002,0,0.003,1,2.797,1,2.797,0,0
20190111,UC_2Wbh0vaQ6GlTFSVxSG3vw,YhgqcUg1wms,claimed,self,TW,0.008,0.008,0.008,0,0.015,5,3.037,5,3.037,0,0
20190111,UCVjf6JL7Pg1j23h2hyZBYMg,AhtVPjrcJNE,claimed,self,VN,0.001,0.001,0.001,0,0.005,2,2.329,3,1.553,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,yYgNYc0yL80,claimed,self,PK,0.087,0.087,0.087,0,0.158,542,0.292,548,0.289,0,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,64Uxj6x2lLc,claimed,self,VN,0,0,0,0,0.001,1,0.708,1,0.708,0,0
20190111,UCxQAr3INJxTZIsDpKV_LfGQ,ehtpiMZ_GFk,claimed,self,VN,0.001,0.001,0.001,0,0.001,3,0.384,3,0.384,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,5jXBbk80XQA,claimed,self,AT,0.005,0.005,0.005,0,0.01,5,1.939,5,1.939,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,QozkfoGm-YU,claimed,self,SG,0.006,0.006,0.006,0,0.01,2,5.042,2,5.042,0,0
20190111,UCkBngOIJHGZSIQsrJ-ujIuQ,Ldvq9Q6qbxM,claimed,self,DE,0.026,0.026,0.026,0,0.047,3,15.68,3,15.68,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,z2pfy7HvPwc,claimed,self,VN,0.001,0.001,0.001,0,0.002,1,1.84,1,1.84,0,0
