video_id,title,contract_id,category,sub1,sub2,season,phase,series_name,created_at
-YM4ljr-B11,Trang Nh?t Ký - Th?c Trinh,406,Bolero,Music Video,,,,,9/11/2018 9:47
v2eQ8W699tE,Nh?c Ch? Guitar Gõ Bo T?ng H?p Hay Nh?t C?a Th?c Trinh - G?u Lé - Tài Dê,406,Others,Others,,,,,9/11/2018 9:47
J8ZL73qppkc,Nh?ng bài hát hay nh?t c?a Hamlet Tr??ng 2018 - Ái channel,2877,Young Music,Audio,,,,,9/11/2018 9:47
rtFoxNHuh18,Nh?ng bài hát hay nh?t c?a Kh?c Vi?t 2018 - Ái channel,2878,Young Music,Audio,,,,,9/11/2018 9:47
f7rIyhYH8uM,Nh?ng bài hát hay nh?t c?a Kh?i My 2018 - Ái channel,2879,Young Music,Audio,,,,,9/11/2018 9:47
yRkgirJYxYk,nghe di roi khoc,410,Young Music,Audio,,,,,9/11/2018 9:47
1ZmaxgO9MmM,Bu?n Không Em - T?n Cùng N?i Nh? - 20 Ca Khúc Sinh Ra Dành Cho Ng??i Th?t Tình,410,Young Music,Audio,,,,,9/11/2018 9:47
W2g5wdYnkp4,Bu?n Không Em - Bu?n Vì Ta M?t Nhau - Nh?ng Ca Khúc Nh?c Tr? Bu?n Hay Nh?t 2018,410,Young Music,Audio,,,,,9/11/2018 9:47
H3LCbxtYZQ8,lam demo,311,Bolero,Music Video,,,,,9/11/2018 9:47
x5_EwNV294g,XUÂN NÀY CON KHÔNG V? Ca s? M?nh ??ng _TÂN HÔN TH? HUY & THÚY LI?U,412,Others,Others,,,,,9/11/2018 9:47
SfHLJjMzGkI,T? tình th?i @ Ph?n 3 | H?u tr??ng 2|Tum Yess :Su Any,311,Others,Others,,,,,9/11/2018 9:47
dIhT4UbGroQ,D? VÃNG CU?C TÌNH -TU?N H?NG,412,Others,Others,,,,,9/11/2018 9:47
G40QzxvPtwQ,Bu?n Không Em - Bu?n Vì Ta M?t Nhau - Nh?ng Ca Khúc Nh?c Tr? Bu?n Hay Nh?t 2018,72,Young Music,Audio,,,,,9/11/2018 9:47
4jGL8bhQ3-k,NGÀY EM RA ?I _KHAI TR??NG NHÀ MÁY PHÁT PH??C THÀNH,412,Others,Others,,,,,9/11/2018 9:47
