video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
YhWLeyfcujU,C? t??ng ⁄p gi?a Nguy?n v?n CÙng v‡ Ho‡ng Ti?n Th‡nh,64,Sport,Others,,,,,9/21/2018 3:10
OmZON717Ajs,B?t MÌ SiÍu Ph?m MÙ HÏnh Ti?m B·nh TÌ Hon VA01 - Th? Gi?i TÌ Hon - ?? Ch?i MÙ HÏnh Nh‡ TÌ Hon DIY,2906,Others,Others,,,,,9/21/2018 3:13
wq6ICjYELUQ,"To‡n C?nh 24h, 01/08/18 ñ 18 th·ng t˘ cho ng??i ??p ph· qu·n karaoke v‡ ?¡NH C‘NG AN",78,News,Production house,,,,,9/21/2018 3:25
7NelSikUW6g,r?c ti?p] B?n tinNh?t k˝ cu?c s?ng ng‡y 30/7/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
iFjiCVXaElw,[Lyrics] Bu?n VÏ Ta M?t Nhau - Tr??ng NgÙn,72,Young Music,Audio,,,,,9/21/2018 3:27
z1uSiBXg5C8,"Kinh ho‡ng khÛi ?en bao tr˘m v? tr??ng LEO ? trung t‚m ?‡ N?ng,",199,News,Newspaper,,,,,9/21/2018 3:04
L_assI4wqOw,LK Nh?c LÌnh Danh Ca S?n Tuy?n H·t T? 1975 ??n 2018 Hay ??c L? | LiÍn Kh˙c Nh?c V‡ng Tr? TÏnh Bolero,225,Nhac tru tinh,Compilation,,,,,9/21/2018 3:27
3srxPGhzCVo,S?N TUY?N ??c L? Gi?a Nh?c LÌnh Tr??c 1945 V‡ Nh?c LÌnh 2018 LK Nhac Linh Nh?c V‡ng X?a V‡ Nay,225,Nhac tru tinh,Compilation,,,,,9/21/2018 3:27
a2RYHMIZE_U,S?N TUY?N Nh?c LÌnh Ch?n L?c Hay T? ??u ??n Cu?i LK Nh?c v‡ng H?i Ngo?i Tr? TÏnh BoLero 2018,225,Nhac tru tinh,Compilation,,,,,9/21/2018 3:27
ygeIpW5ruWs,S?N TUY?N Tuy?t Ph?m MV LÌnh Ch?n L?c Hay T? ??u ??n Cu?i LK Nh?c v‡ng Tr? TÏnh BoLero 2018,225,Nhac tru tinh,Compilation,,,,,9/21/2018 3:27
YjlVuZdz-wk,Nh?c LÌnh S?n Tuy?n H?i Ngo?i Nh?c LÌnh X?a H?i Ngo?i G?i Nh? QuÍ H??ng C?a S?n Tuy?n Th?t Hay,225,Nhac tru tinh,Compilation,,,,,9/21/2018 3:27
TCHkYZBhEJg,B?n nh?c ch? hay nh?t v? TrÚn VuÙng Tam Gi·c c?a gi·o s? H? Ng?c ??i v‡ B˘i Hi?n,222,Others,Others,,,,,9/21/2018 3:10
3G9c6RDmfP4,Nh?c ch? ˝ ngh?a | Cu?c s?ng vÙ th??ng | Nh?c ch? bolero hay nh?t 2018,222,Others,Others,,,,,9/21/2018 3:10
4PbHPb95Qmo,Hai VÏ Sao L?c - Th?c Trinh,406,Bolero,Audio,,,,,9/21/2018 3:10
-kckhak-LW4,Nh?c ch? : Tai n?n xe ? Lai Ch‚u | R?n ng??i con s? 13,222,Others,Others,,,,,9/21/2018 3:10
Il6H9Bgav6c,Tuy?t Ph?m Bolero Tr? TÏnh M?i Nh?t C?a Th?c Trinh - Nh?c V‡ng Nh?c Tr? TÏnh Hay Nh?t,406,Others,Compilation,,,,,9/21/2018 3:10
DrcVcxAa3GQ,NG??I TÃNH KH‘NG ??N _ ⁄t h·t giao l?u trong ti?c c??i,412,Others,Others,,,,,9/21/2018 3:10
nyUXvpHZKw4,NG??I TÃNH KH‘NG ??N,412,Others,Others,,,,,9/21/2018 3:10
9nW1nQqryS8,S”C S? BAY S”C TR?NG,412,Others,Others,,,,,9/21/2018 3:10
tX162c5OTUo,?ÕNH ??C _ S?n T˘ng BÌch H?p song ca,412,Others,Others,,,,,9/21/2018 3:10
Z9qZreV-0Z8,CH? C” B?N B» TH‘I ( Nh?c ch? ),412,Others,Others,,,,,9/21/2018 3:10
4B2OR695ZKA,RI NG M?T G”C TR?I _ Ch? Sen,412,Others,Others,,,,,9/21/2018 3:10
c7zpEmCBOnQ,L?I T? TÃNH D? TH??NG 2 _ BÌch H?p,412,Others,Others,,,,,9/21/2018 3:10
khrnRCkkR90,Soundcheck  C?n M?a B?ng Gi·,412,Others,Others,,,,,9/21/2018 3:10
OMV6xX1lbxg,V? ?¬Y ANH _ Mai Trinh _ T¬N H‘N TH? HUY & TH⁄Y LI?U,412,Others,Others,,,,,9/21/2018 3:10
Dt1VhCro4bE,CON ???NG X?A EM ?I _ Ca s? BÌch H?p,412,Others,Others,,,,,9/21/2018 3:10
2oUah42Sqkk,Setup ThÙng s? tr?n Reverb v‡ Delay c˘ng b?n ??ng nghi?p chu?n b? show l?n .,412,Others,Others,,,,,9/21/2018 3:10
zY4EGfwTO4o,EM ?I C” PH?I NGO¿I TR?I ?ANG M?A _ T¬N H‘N NH?T ?OAN & TI?U LOAN,412,Others,Others,,,,,9/21/2018 3:10
LG70dDZ13VQ,T⁄P LI?U L› T??NG ( Remix ) Organ Tr??ng,412,Others,Others,,,,,9/21/2018 3:10
y90qPRXxPhQ,MI?N C¡T TR?NG _ T¬N H‘N CON ANH T¿I,412,Others,Others,,,,,9/21/2018 3:10
xW9Cp5S_TM4,Soundcheck L? ?Ình HÙn T?N PH¡T & TR??NG VI,412,Others,Others,,,,,9/21/2018 3:10
S8sPvOAlaiw,D?U CH¬N TÃNH S?U _ Ch? Sen h·t giao l?u trong ti?c c??i th?t hay,412,Others,Others,,,,,9/21/2018 3:10
fcMXUN4veU8,TÃNH CHA,412,Others,Others,,,,,9/21/2018 3:10
O-MD45CCX64,MŸA XU¬N C??I EM _ Mc S?n T˘ng,412,Others,Others,,,,,9/21/2018 3:10
_PEr7A6cm4o,L· Th? Cu?i C˘ng ( Minh hat giao l?u yÍu c?u cho echo nhi?u ),412,Others,Others,,,,,9/21/2018 3:10
rmJBQXpoUuY,Anh Mu?n Em S?ng Sao Live | USA 2018,776,Young Music,Others,,,,,9/21/2018 3:10
saGoYx6ITNA,B?o H‚n Bolero | Xu?t s?c ??ng quang Hoa KhÙi S?c ??p Vi?t Nam 2018 |,2880,Others,Others,,,,,9/21/2018 3:10
o-Q-BvAX3FU,Sao Anh N? ?‡nh QuÍn || B?o H‚n Bolero | Hoa KhÙi S?c ??p VN,2880,Bolero,Audio,,,,,9/21/2018 3:10
DP8slVN2XpM,KARAOKE || Chuy?n H?n HÚ || B?o H‚n Bolero,2880,Bolero,Karaoke,,,,,9/21/2018 3:10
WeidC0pfZ9w,KARAOKE || N?ng LÍn XÛm NghËo || B?o H‚n Bolero,2880,Bolero,Karaoke,,,,,9/21/2018 3:10
7vPQB_RGzZE,KARAOKE ||M?a Chi?u Mi?n Trung || B?o H‚n Bolero,2880,Bolero,Karaoke,,,,,9/21/2018 3:10
5oQfFf6-hYg,TUY?N T?P NH?NG CA KH⁄C HAY v‡ M?I NH?T 2018 || D? Nghe D? Ng? || B?o H‚n Bolero ||,2880,Others,Compilation,,,,,9/21/2018 3:10
zMi_aVrNLFc,KARAOKE || Vu Lan Nh? M? || B?o H‚n Bolero,2880,Bolero,Karaoke,,,,,9/21/2018 3:10
EvNYRWDbfxE,M?a Chi?u Mi?n Trung | B?o H‚n Bolero (Hoa KhÙi S?c ??p VN),2880,Bolero,Music Video,,,,,9/21/2018 3:10
tOtuvNGgEW4,HOA C¿I M¡I T”C _ SINH NH?T QU?NH L¬M,412,Others,Others,,,,,9/21/2018 3:10
tpPRFSCDn40,L?I NH? NG??I Y U _ SINH NH?T QU?NH L¬M,412,Others,Others,,,,,9/21/2018 3:10
mR5Jmvv2E9A,NG??I TÃNH KH‘NG ??N _ DI?U THU_SINH NH?T QU?NH L¬M,412,Others,Others,,,,,9/21/2018 3:10
GSwNcvo1fkc,NH?NG L?I D?I GIAN _ SINH NH?T QU?NH L¬M,412,Others,Others,,,,,9/21/2018 3:10
